###############xx###############
#..............................#
#..............................#
#..............................#
#..............................#
#..............................#
#..........          ..........#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
x..............  ..............#
x..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..............  ..............#
#..........          ..........#
#..............................#
#..............................#
#..............................#
#..............................#
#..............................#
###############xx###############
